n_samples,time,memory,MAE,RMSE,R2
100,0.1610192,0.9860000000000001,0.021575399999999998,0.027985,-0.051500000000000004
200,0.26717599999999997,0.028828125,0.022402199999999997,0.028783999999999997,-0.027040199999999997
300,0.36850839999999996,1.5,0.022444400000000003,0.028625400000000002,-0.009064399999999999
400,0.45329980000000003,1.8699999999999999,0.022751,0.028937200000000003,0.0329808
500,0.5541619999999999,1.966,0.022808199999999997,0.0289508,0.06562979999999999
600,0.6807268000000001,1.534,0.022838999999999998,0.028990400000000006,0.0777698
700,0.7947819999999999,2.1700000000000004,0.022614000000000002,0.0286844,0.08746219999999999
800,0.9141798000000001,2.682,0.0227158,0.0287752,0.10083660000000001
900,1.1417945999999999,3.7039999999999997,0.0223812,0.028437200000000003,0.1152412
1000,1.300403,4.524,0.022259400000000002,0.0282368,0.119994
1100,1.527043,5.612,0.021976799999999998,0.027881200000000002,0.137704
1200,1.7286508,6.656000000000001,0.0217582,0.0275892,0.1556654
1300,1.9629759999999998,7.824,0.0215042,0.0272972,0.17188379999999998
1400,2.2324007999999997,8.742,0.0213052,0.027080000000000003,0.1767394
1500,2.5376156,9.5,0.0210424,0.026784000000000002,0.18662220000000002
1600,2.8418805999999996,10.622,0.020912800000000002,0.026605599999999997,0.1926594
1700,3.1788514,11.702,0.020738799999999998,0.0263802,0.202387
1800,3.5378233999999997,12.522,0.0206024,0.0262324,0.21496240000000003
1900,3.9108938,13.48,0.0204488,0.0260294,0.22540959999999996
2000,4.3144946,14.306000000000001,0.020388,0.025918200000000002,0.2355314
2100,4.7502572,14.994,0.020260800000000002,0.0257932,0.23816779999999999
2200,5.1886567999999995,15.628000000000004,0.0201628,0.0256916,0.2453146
2300,5.699084000000001,15.918000000000001,0.0201204,0.0256566,0.25299679999999997
2400,6.1872354000000005,16.768,0.0200254,0.025567599999999996,0.258738
2500,6.6800128,17.642,0.0199096,0.025434400000000003,0.2650582
2600,7.2127666,18.612000000000002,0.0198742,0.0253828,0.2698618
2700,7.7580432,19.436,0.0198254,0.0253206,0.270664
2800,8.315642,20.222,0.019771,0.025239400000000002,0.2777098
2900,8.8946088,20.971999999999998,0.0197052,0.02516,0.2860824
3000,9.5163902,21.496000000000002,0.019569800000000002,0.0249982,0.29330700000000004
3100,10.168354599999999,21.823999999999998,0.019430999999999997,0.024845200000000005,0.30059880000000005
3200,10.8325254,22.654,0.019314599999999998,0.024717,0.3068144
3300,11.486318999999998,23.532,0.0191982,0.024593999999999998,0.3134348
3400,12.160975599999999,24.375999999999998,0.0190914,0.0244792,0.31823199999999996
3500,12.890678399999999,25.04,0.018975600000000002,0.024347200000000003,0.3220436
3600,13.6046346,25.833999999999996,0.0189266,0.024280600000000003,0.326366
3700,14.3499206,26.465999999999998,0.018881000000000002,0.024214799999999998,0.3307486
