,n_samples,MAE,RMSE,R2,time_learning,time_predicting,memory,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
0,999,20.379787698098337,37.94722989361093,-0.014760426979883112,0.1494758129119873,0.06573104858398438,0.2812652587890625,5,2,3,3,0,3,1000.0
1,1999,20.659927113410046,42.737506609900656,0.001992141465735564,0.28984665870666504,0.1284189224243164,0.5553398132324219,13,6,7,7,0,5,2000.0
2,2999,19.62303661905833,39.47159427410078,0.005894787808362945,0.40139079093933105,0.18260765075683594,0.8797874450683594,19,9,10,10,0,6,3000.0
3,3999,19.752897862606684,44.492508380435225,0.0075168712296563855,0.5156636238098145,0.23703908920288086,1.1523780822753906,25,12,13,13,0,7,4000.0
4,4999,19.363009500890914,41.975835550917985,0.008480896090299672,0.6382980346679688,0.2919039726257324,1.2139892578125,35,17,18,18,0,8,5000.0
5,5999,19.0679876297092,40.55542310644883,0.007252533197863897,0.7563621997833252,0.34722447395324707,1.4484748840332031,43,21,22,22,0,9,6000.0
6,6999,19.058914896461648,39.44617167076207,0.00934179194033824,0.8695926666259766,0.44756150245666504,1.7032737731933594,49,24,25,25,0,9,7000.0
7,7999,19.27094834285039,38.93687900359056,0.009123192058495877,0.9924206733703613,0.5024306774139404,1.847412109375,57,28,29,29,0,9,8000.0
8,8999,19.63555834129029,39.10634053458394,0.012223465387732224,1.1050763130187988,0.5582773685455322,2.011066436767578,63,31,32,32,0,9,9000.0
9,9999,20.25748159011532,39.728796591016355,0.01702124545593875,1.2189953327178955,0.6137173175811768,2.371246337890625,69,34,35,35,0,9,10000.0
10,10999,20.526646985518923,39.49518984177022,0.01750021430662474,1.3338515758514404,0.6706373691558838,2.6011123657226562,75,37,38,38,0,9,11000.0
11,11999,20.752629216190417,39.231461129272006,0.01923799229835399,1.4531035423278809,0.7270407676696777,2.7775115966796875,83,41,42,42,0,10,12000.0
12,12999,21.339794311339418,40.57503255386928,0.020941391620291072,1.5695233345031738,0.7834343910217285,3.076122283935547,87,43,44,44,0,10,13000.0
13,13999,21.93222901598036,41.13658492819514,0.02508113929168898,1.6790664196014404,0.8397030830383301,3.267108917236328,89,44,45,45,0,10,14000.0
14,14999,22.492771243504855,41.593525386061806,0.028514726800289103,1.7994673252105713,0.8966853618621826,3.3833770751953125,97,48,49,49,0,11,15000.0
15,15999,22.732242104480935,41.486088621853455,0.032114338198727777,1.9127845764160156,0.9537789821624756,3.6357269287109375,99,49,50,50,0,11,16000.0
16,16999,23.099442917760562,41.94894658397874,0.034665838058349774,2.0383353233337402,1.0107014179229736,3.5096893310546875,113,56,57,57,0,11,17000.0
17,17999,23.404883626918853,41.92333938727352,0.034159443849052895,2.1441731452941895,1.0684683322906494,3.8520240783691406,113,56,57,57,0,11,18000.0
18,18999,23.407807887906912,41.63697978991634,0.031813237498880764,2.2703049182891846,1.1249966621398926,3.9917640686035156,121,60,61,61,0,12,19000.0
19,19999,23.191472530128276,41.23874524402534,0.03220081223089699,2.392707347869873,1.1808953285217285,4.27801513671875,127,63,64,64,0,12,20000.0
20,20999,22.82576119715169,40.83753618644444,0.03415437136337096,2.507472276687622,1.238088607788086,4.516059875488281,133,66,67,67,0,12,21000.0
21,21999,22.48124612501042,40.28024343223659,0.03632344098717866,2.6185944080352783,1.2953894138336182,4.753223419189453,137,68,69,69,0,12,22000.0
22,22999,22.210222763237443,39.979432846572266,0.03744830429239743,2.7397079467773438,1.4146196842193604,4.925579071044922,141,70,71,71,0,12,23000.0
23,23999,21.970302816242032,39.46595909327472,0.038551881235943775,2.8592190742492676,1.4726307392120361,5.054599761962891,147,73,74,74,0,12,24000.0
24,24999,21.759714406511886,39.02255678614187,0.03928960588670227,2.9806785583496094,1.5297982692718506,5.166934967041016,155,77,78,78,0,12,25000.0
25,25999,21.5685259398159,38.69196353909542,0.039029598840395696,3.1097304821014404,1.5876562595367432,5.117214202880859,163,81,82,82,0,13,26000.0
26,26999,21.423016662022697,38.34071019335965,0.03875530349906575,3.2429611682891846,1.6473512649536133,5.3868408203125,173,86,87,87,0,13,27000.0
